Localitate,Total,Români,Maghiari,Romi,Ucraineni,Germani,Ruși/lipoveni,Turci,Tătari,Sârbi,Slovaci,Bulgari,Croați,Greci,Evrei,Cehi,Polonezi,Italieni,Chinezi,Armeni,Ceangăi,Altă ethnie,Ethnie nedeclarată,Ortodox,Romano-catolic,Reformat?,Penticostal,Greco catolic?,Baptist,Adventist de ziua a șaptea,Musulman,Unitarian,Creștin după Evangelie,Crestin de rit vechi,Evanghelic lutheran sinodo-presbiterian,Evanghelic,Evanghelic de confesiune augustan,Mozaică,Altă religie,Fără religie,Atei,Religie nedeclarată,
1,Alba Iulia municipiul / Gyulafehérvár municípium (AB),66406,62722,1836,1475,11,217,1,12,0,2,1,9,3,5,20,0,0,45,5,1,2,30,9,58451,1661,855,1444,1744,1155,78,16,48,80,21,82,24,36,20,515,55,40,81
2,Aiud municipiul / Nagyenyed municípium (AB),28934,22596,4787,1464,5,44,7,2,0,1,0,4,1,2,1,2,2,3,0,0,1,12,0,22085,615,3780,297,1197,206,152,10,322,7,0,31,4,9,1,148,19,34,17
3,Blaj municipiul / Balázsfalva municípium (AB),20765,17091,1697,1900,1,63,0,0,0,0,0,2,0,0,2,0,1,4,0,1,0,1,2,14784,744,988,227,3397,394,0,3,15,95,0,21,13,15,2,49,9,6,3
4,Sebeº municipiul / Szászsebes municípium (AB),27698,25632,212,1385,3,420,0,0,0,1,1,0,0,1,0,0,1,39,0,0,0,3,0,25184,217,94,814,199,279,11,3,2,89,3,206,45,132,0,297,47,18,58
5,Abrud oraºul / Abrudbánya város (AB),6195,6080,76,33,0,3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5779,59,52,45,32,142,8,0,2,8,2,1,0,0,0,49,6,0,10
6,Baia de Arieº oraºul / Aranyosbánya város (AB),4669,4617,39,9,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4526,16,12,11,25,35,1,0,16,0,5,1,1,0,0,13,1,2,4
7,Câmpeni oraºul / Topánfalva város (AB),8080,7810,14,248,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,7790,15,3,59,120,67,3,0,3,0,0,3,4,0,0,8,5,0,0
8,Oraºul Cugir / Kudzsir város (AB),25977,25158,359,339,1,78,4,1,0,0,10,4,0,0,2,1,0,3,0,1,6,8,2,24001,360,112,398,338,279,19,1,4,65,40,27,31,1,2,211,49,13,26
9,Ocna Mureº oraºul / Marosújvár város (AB),15503,13198,1641,636,0,17,1,0,0,0,1,0,0,0,0,0,3,1,0,0,1,0,4,11903,338,1218,500,1036,139,127,0,22,5,0,6,3,0,1,149,26,7,23
10,Teiuº oraºul / Tövis város (AB),7284,6297,414,567,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5601,77,327,14,1129,42,19,0,4,5,13,3,0,1,0,44,2,1,2
11,Zlatna oraºul / Zalatna város (AB),8612,8367,57,179,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8319,72,34,17,34,51,3,2,0,0,1,3,1,0,0,52,15,4,4
12,Albac Comuna / Fehérvölgy község (AB),2220,2182,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
13,Almaºu Mare comuna / Nagyalmás község (AB),1690,1664,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1571,0,1,86,10,0,0,0,0,0,1,0,0,0,0,20,0,0,1
14,Comuna Arieºeni / Lepus község (AB),1921,1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1812,1,0,100,2,4,0,0,0,0,0,0,0,0,0,1,0,0,1
15,Avram Iancu comuna / Felsõvidra község (AB),1865,1772,1,90,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1630,0,0,123,0,88,0,0,0,0,0,0,0,1,0,17,2,1,3
16,Berghin comuna / Berve község (AB),2169,2035,14,86,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,24,4,32,5,37,0,0,0,10,0,0,0,33,0,0,0,0,0
17,Bistra comuna / Bisztra község (AB),5066,5045,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4960,1,0,0,74,14,3,0,0,0,0,0,0,0,0,11,1,1,1
18,Blandiana comuna / Maroskarna község (AB),1187,1174,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1091,5,0,6,0,56,0,0,0,0,0,0,0,0,0,27,0,0,2
19,Bucium comuna / Bucsony község (AB),1792,1791,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1687,1,0,7,8,4,6,0,0,0,0,0,0,0,0,63,15,0,1
20,Câlnic comuna / Kelnek község (AB),3007,2584,8,409,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2860,10,1,48,0,0,12,0,0,73,0,1,0,0,0,0,2,0,0
21,Cenade comuna / Szászcsanád község (AB),1015,889,8,54,3,59,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633,1,3,2,296,12,0,0,0,2,0,0,0,66,0,0,0,0,0
22,Cergãu comuna / Cserged község (AB),1747,1576,1,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1597,1,0,36,38,66,0,0,0,7,0,0,0,0,0,0,1,1,0
23,Ceru-Bãcãinþi comuna / Bokajfelfalu község (AB),376,375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,Cetatea de Baltã comuna / Küküllõvár község (AB),3217,1725,625,836,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2299,19,582,64,170,21,1,0,3,30,0,1,0,27,0,0,0,0,0
25,Ciugud comuna / Maroscsüged község (AB),2664,2643,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2435,5,6,40,9,83,1,0,0,73,0,0,0,0,0,8,3,1,0
26,Ciuruleasa comuna / Csuruleásza község (AB),1368,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261,0,0,63,0,36,2,0,0,0,0,0,0,0,0,5,1,0,0
27,Crãciunelu de Jos comuna / Alsókarácsonfalva község (AB),4392,3625,704,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3456,5,659,22,176,73,0,0,0,0,0,0,0,0,0,1,0,0,0
28,Cricãu comuna / Boroskrakkó község (AB),2097,2068,8,11,0,1,0,1,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,1957,9,2,12,17,96,1,0,0,0,0,0,0,0,0,2,0,0,1
29,Daia Românã c. / Oláhdálya község (AB),3109,3103,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2531,5,5,90,227,34,0,0,0,0,0,0,0,0,0,214,3,0,0
30,Doºtat comuna / Hosszútelke község (AB),1072,1060,1,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016,0,0,38,4,0,0,0,0,6,0,2,4,0,0,2,0,0,0
31,Fãrãu c. / Magyarforró község (AB),1909,1373,481,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226,6,441,150,38,0,5,0,11,0,0,0,1,0,0,24,4,0,3
32,Galda de Jos / Alsógáld község (AB),4882,4277,553,38,0,12,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4190,52,504,19,71,2,27,1,0,0,1,2,0,0,0,8,1,0,4
33,Gârbova c. / Szászorbó község (AB),2059,1848,6,164,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1707,0,4,164,4,18,3,0,0,130,0,0,0,28,0,1,0,0,0
34,Gârda de Sus c. / Felsõgirda község (AB),1865,1865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1855,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,4
35,Hopârta c. / Háporton közég (AB),1372,1212,8,151,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1271,6,3,6,73,13,0,0,0,0,0,0,0,0,0,0,0,0,0
36, Horea c. / Horea község (AB),2371,2352,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2323,0,0,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Ighiu c. / Magyarigen község (AB),6432,6170,30,227,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5847,14,24,334,91,83,2,0,1,18,0,1,0,2,0,12,1,0,2
38,Întregalde c. / Havasgáld község (AB),877,875,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855,0,2,2,3,0,14,0,0,1,0,0,0,0,0,0,0,0,0
39,Jidvei / Zsidve község (AB),5244,4245,145,758,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4453,5,106,100,447,0,0,1,2,0,0,23,0,88,0,17,0,1,1
40,Livezile / Úrháza község (AB),1526,1506,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1464,3,1,0,42,1,0,1,3,0,0,0,0,0,0,8,1,1,1
