"JUD" "DEN_JUD" "numarColegiu" "numeTipColegiu" "NrAlegatoriListe" "NrAlegatoriListePermanent" "NrAlegatoriListeSuplimentare" "NrAlegatoriUrnaSpeciala" "NrAlegatoriPrezentatiLaUrne" "NrAlegatoriPrezentiLaUrneListaPermanenta" "NrAlegatoriPrezentiLaUrneListaSuplimentara" "NrAlegatoriPrezentiLaUrneListaSpeciala" "NrBuletineVotPrimite" "NrBuletineVotAnulate" "TotalVoturiValabilExprimateLaNivelSectie" "NrVoturiNule" "NrVoturiAlbe" "UNIUNEA SOCIAL LIBERALÃ" "UNIUNEA DEMOCRATÃ MAGHIARÃ DIN ROMÂNIA" "ALIANÞA ROMÂNIA DREAPTÃ" "PARTIDUL ROMÂNIA MARE" "PARTIDUL POPORULUI - DAN DIACONESCU" "ASOCIAÞIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT." "FEDERAÞIA COMUNITÃÞILOR EVREIEªTI DIN ROMÂNIA" "UNIUNEA POLONEZILOR DIN ROMÂNIA" "ASOCIAÞIA LIGA ALBANEZILOR DIN ROMÂNIA" "COMUNITATEA RUªILOR LIPOVENI DIN ROMÂNIA" "UNIUNEA DEMOCRATICÃ A SLOVACILOR ªI CEHILOR DIN ROMÂNIA" "UNIUNEA UCRAINENILOR DIN ROMÂNIA" "UNIUNEA BULGARÃ DIN BANAT - ROMÂNIA" "FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA" "ASOCIAÞIA PARTIDA ROMILOR PRO-EUROPA" "UNIUNEA CROAÞILOR DIN ROMÂNIA" "UNIUNEA DEMOCRATÃ TURCÃ DIN ROMÂNIA" "UNIUNEA ELENÃ DIN ROMÂNIA" "UNIUNEA DEMOCRATÃ A TÃTARILOR TURCO-MUSULMANI DIN ROMÂNIA" "UNIUNEA ARMENILOR DIN ROMÂNIA" "UNIUNEA CULTURALÃ A RUTENILOR DIN ROMÂNIA" "ASOCIAÞIA MACEDONENILOR DIN ROMÂNIA" "UNIUNEA SÂRBILOR DIN ROMÂNIA" "ERDÉLYI MAGYAR NÉPPÁRT - PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA" "PARTIDUL ECOLOGIST ROMÂN" "PARTIDUL ALIANÞA SOCIALISTÃ" "PARTIDUL POPULAR" "PARTIDUL POPULAR ªI AL PROTECÞIEI SOCIALE" "PARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR" "PARTIDUL NAÞIONAL DEMOCRAT CREªTIN" "BIHOR_ 5_NOANE GHEORGHE-VIOREL" "BRAªOV_ 1_HUTOPILÃ VIOLETA" "CLUJ_ 1_ALEXA LIVIU-DORU-ALIN" "DÂMBOVIÞA_ 8_PETRE IONEL" "HUNEDOARA_ 2_POPA GHEORGHE-GABRIEL" "IAªI_ 6_RAªCU BENONI" "OLT_ 3_DRÃGHICESCU DRAGOª-NICOLAE" "OLT_ 2_STAN NICOLAE" "TIMIª_ 4_GOCIU ADRIAN" "Mun. BUCUREªTI_16_PIPEREA GHEORGHE" "Mun. BUCUREªTI_17_FILIP CONSTANTIN"
1 "ALBA" 1 "CAMERA DEPUTATILOR" 69248 68423 670 155 27268 26466 649 153 75741 48472 26365 722 181 13610 316 7860 430 3423 43 54 12 52 7 17 3 39 119 84 30 13 26 14 25 140 38 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 "ALBA" 2 "CAMERA DEPUTATILOR" 62583 61900 500 183 26016 25337 500 179 71564 45548 24936 854 225 11596 462 8762 0 3258 29 11 32 43 15 14 6 12 292 115 17 32 21 5 44 85 59 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 "ALBA" 3 "CAMERA DEPUTATILOR" 64982 64184 634 164 28613 27823 634 156 71563 42950 27370 850 393 14457 246 7295 0 4216 29 32 72 81 53 19 21 33 146 212 49 69 31 23 48 138 71 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 "ALBA" 4 "CAMERA DEPUTATILOR" 63767 62985 664 118 23275 22493 664 118 69861 46586 22391 640 240 9115 2207 6125 0 3920 20 12 40 55 26 13 14 15 255 193 28 54 22 15 34 137 73 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 "ALBA" 5 "CAMERA DEPUTATILOR" 60194 58911 784 499 28184 26940 784 460 70946 42762 26996 826 357 14825 433 6969 0 3728 27 71 21 96 18 16 10 48 76 106 63 11 30 34 32 147 87 17 131 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 "ARAD" 1 "CAMERA DEPUTATILOR" 48436 48238 168 30 19160 18962 168 30 53166 34014 18736 347 67 9491 1037 6014 0 1547 13 34 6 23 5 26 1 33 147 14 11 8 11 5 17 11 20 42 0 220 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 "ARAD" 2 "CAMERA DEPUTATILOR" 53674 53404 261 9 20933 20664 261 8 58655 37729 20443 393 90 9243 1464 7068 202 1806 6 35 6 31 18 20 9 50 141 11 11 2 9 7 17 18 16 54 0 199 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 "ARAD" 3 "CAMERA DEPUTATILOR" 51574 51278 285 11 17426 17130 285 11 56954 39528 16919 403 103 7458 1336 5382 0 2017 10 35 8 29 3 24 6 48 188 22 23 6 24 5 14 6 38 38 0 199 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 "ARAD" 4 "CAMERA DEPUTATILOR" 57284 56616 381 287 20802 20143 380 279 62676 41874 19981 490 331 10212 1780 3988 259 3079 8 40 16 100 32 28 17 31 68 57 14 5 8 8 13 40 52 37 0 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 "ARAD" 5 "CAMERA DEPUTATILOR" 58752 57675 645 432 23884 22818 645 421 63972 40088 22969 547 368 11311 178 7781 0 2772 12 31 17 72 15 70 112 33 110 47 54 15 40 11 18 22 128 13 0 107 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 "ARAD" 6 "CAMERA DEPUTATILOR" 63360 62693 509 158 21020 20353 509 158 69267 48247 20284 463 273 10997 283 4410 0 3729 17 93 23 36 37 30 33 76 194 53 34 16 40 35 22 70 29 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 "ARAD" 7 "CAMERA DEPUTATILOR" 61910 61424 281 205 18727 18247 281 199 67936 49210 18010 459 257 5352 2241 5788 0 3287 12 45 44 30 23 397 14 192 132 72 24 14 21 26 18 150 26 102 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 "ARGEª" 1 "CAMERA DEPUTATILOR" 57229 56636 494 99 23700 23107 494 99 62700 39000 22873 636 191 14894 124 2625 677 4046 37 21 7 54 7 5 8 30 31 127 23 24 18 8 38 10 29 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 "ARGEª" 2 "CAMERA DEPUTATILOR" 62696 62040 559 97 26597 25943 559 95 69199 42604 25576 730 287 17860 151 2342 413 4244 29 16 7 48 9 11 7 29 48 69 28 33 37 18 62 14 46 55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 "ARGEª" 3 "CAMERA DEPUTATILOR" 70949 70276 492 181 32135 31472 492 171 78001 45866 31069 759 307 22155 104 2231 414 5242 52 109 33 49 9 13 8 24 22 120 15 41 26 14 40 10 37 32 0 269 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 "ARGEª" 4 "CAMERA DEPUTATILOR" 56206 55540 538 128 24260 23594 538 128 61607 37347 23220 641 399 14460 135 3479 0 4484 51 22 18 84 30 17 27 31 45 65 31 13 53 10 97 16 39 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 "ARGEª" 5 "CAMERA DEPUTATILOR" 54604 53783 608 213 25501 24685 607 209 60000 34500 24410 693 397 16960 157 2621 0 4015 58 24 7 68 35 19 16 51 54 45 28 10 35 24 97 22 54 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 "ARGEª" 6 "CAMERA DEPUTATILOR" 66980 66133 740 107 27772 26925 740 107 73600 45828 26773 640 358 18420 134 1811 445 5360 52 11 12 59 11 14 9 31 43 60 31 39 35 19 59 18 57 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 "ARGEª" 7 "CAMERA DEPUTATILOR" 66693 66304 365 24 32351 31962 365 24 73501 41149 31553 638 160 22299 142 5195 0 2910 26 30 17 33 10 8 6 33 41 20 6 21 30 12 44 1 28 15 0 479 147 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 "ARGEª" 8 "CAMERA DEPUTATILOR" 50357 50089 263 5 23479 23211 263 5 55492 32013 22887 475 117 15604 73 3385 378 2785 16 25 12 26 11 5 5 13 30 17 8 13 21 5 15 5 17 11 0 407 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 "ARGEª" 9 "CAMERA DEPUTATILOR" 59189 58727 425 37 28586 28124 425 37 66000 37417 27855 632 95 17626 100 5972 461 2956 7 9 8 19 7 8 4 2 48 16 6 10 7 6 25 5 14 6 0 455 78 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 "BACÃU" 1 "CAMERA DEPUTATILOR" 64036 63779 246 11 22632 22375 246 11 68992 46360 21844 681 107 11941 46 3044 530 4139 14 30 8 10 12 7 6 45 39 41 5 15 13 10 34 2 19 15 0 1819 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 "BACÃU" 2 "CAMERA DEPUTATILOR" 58387 58178 184 25 22558 22350 183 25 65919 43361 21829 646 79 13045 39 3701 514 3051 15 45 17 15 12 11 8 38 63 33 4 19 18 10 111 6 21 5 0 1028 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
