"JUD" "DEN_JUD" "NrAlegatoriListe" "NrAlegatoriListePermanent" "NrAlegatoriListeSuplimentare" "NrAlegatoriUrnaSpeciala" "NrAlegatoriPrezentatiLaUrne" "NrAlegatoriPrezentiLaUrneListaPermanenta" "NrAlegatoriPrezentiLaUrneListaSuplimentara" "NrAlegatoriPrezentiLaUrneListaSpeciala" "NrBuletineVotPrimite" "NrBuletineVotAnulate" "TotalVoturiValabilExprimateLaNivelSectie" "NrVoturiNule" "NrVoturiAlbe" "UNIUNEA SOCIAL LIBERALÃ" "UNIUNEA DEMOCRATÃ MAGHIARÃ DIN ROMÂNIA" "ALIANÞA ROMÂNIA DREAPTÃ" "PARTIDUL ROMÂNIA MARE" "PARTIDUL POPORULUI - DAN DIACONESCU" "ASOCIAÞIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT." "FEDERAÞIA COMUNITÃÞILOR EVREIEªTI DIN ROMÂNIA" "UNIUNEA POLONEZILOR DIN ROMÂNIA" "ASOCIAÞIA LIGA ALBANEZILOR DIN ROMÂNIA" "COMUNITATEA RUªILOR LIPOVENI DIN ROMÂNIA" "UNIUNEA DEMOCRATICÃ A SLOVACILOR ªI CEHILOR DIN ROMÂNIA" "UNIUNEA UCRAINENILOR DIN ROMÂNIA" "UNIUNEA BULGARÃ DIN BANAT - ROMÂNIA" "FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA" "ASOCIAÞIA PARTIDA ROMILOR PRO-EUROPA" "UNIUNEA CROAÞILOR DIN ROMÂNIA" "UNIUNEA DEMOCRATÃ TURCÃ DIN ROMÂNIA" "UNIUNEA ELENÃ DIN ROMÂNIA" "UNIUNEA DEMOCRATÃ A TÃTARILOR TURCO-MUSULMANI DIN ROMÂNIA" "UNIUNEA ARMENILOR DIN ROMÂNIA" "UNIUNEA CULTURALÃ A RUTENILOR DIN ROMÂNIA" "ASOCIAÞIA MACEDONENILOR DIN ROMÂNIA" "UNIUNEA SÂRBILOR DIN ROMÂNIA" "ERDÉLYI MAGYAR NÉPPÁRT - PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA" "PARTIDUL ECOLOGIST ROMÂN" "PARTIDUL ALIANÞA SOCIALISTÃ" "PARTIDUL POPULAR" "PARTIDUL POPULAR ªI AL PROTECÞIEI SOCIALE" "PARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR" "PARTIDUL NAÞIONAL DEMOCRAT CREªTIN" "BIHOR_ 5_NOANE GHEORGHE-VIOREL" "BRAªOV_ 1_HUTOPILÃ VIOLETA" "CLUJ_ 1_ALEXA LIVIU-DORU-ALIN" "DÂMBOVIÞA_ 8_PETRE IONEL" "HUNEDOARA_ 2_POPA GHEORGHE-GABRIEL" "IAªI_ 6_RAªCU BENONI" "OLT_ 3_DRÃGHICESCU DRAGOª-NICOLAE" "OLT_ 2_STAN NICOLAE" "TIMIª_ 4_GOCIU ADRIAN" "Mun. BUCUREªTI_16_PIPEREA GHEORGHE" "Mun. BUCUREªTI_17_FILIP CONSTANTIN"
1 "ALBA" 320774 316403 3252 1119 133356 129059 3231 1066 359675 226318 128058 3892 1396 63603 3664 37011 430 18545 148 180 177 327 119 79 54 147 888 710 187 179 130 91 183 647 328 100 131 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 "ARAD" 394990 391328 2530 1132 141952 138317 2529 1106 432626 290690 137342 3102 1489 64064 8319 40431 461 18237 78 313 120 321 133 595 192 463 980 276 171 66 153 97 119 317 309 313 0 814 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 "ARGEª" 544903 539528 4484 891 244381 239023 4483 875 600100 355724 236216 5844 2311 160278 1120 29661 2788 36042 328 267 121 440 129 100 90 244 362 539 176 204 262 116 477 101 321 215 0 1610 225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 "BACÃU" 604406 598992 4450 964 230312 224956 4449 907 662888 432576 220345 7302 2652 135089 856 27924 1337 43579 165 318 323 274 161 117 186 534 552 588 267 302 264 180 369 130 242 138 0 6450 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 "BIHOR" 506644 501474 3341 1829 212916 207794 3333 1789 558642 345716 206477 4460 1953 104870 40408 25558 2681 19436 186 217 115 401 52 2315 120 116 638 460 156 108 113 192 181 102 432 168 6507 0 0 0 0 0 0 945 0 0 0 0 0 0 0 0 0 0
6 "BISTRIÞA-NÃSÃUD" 262931 260144 2014 773 101138 98368 2009 761 287616 186481 97451 2457 1226 52114 4699 24706 290 10097 355 246 181 240 128 83 122 201 887 321 121 81 61 95 116 81 211 81 0 1934 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 "BOTOªANI" 367436 364012 2473 951 150370 146987 2473 910 401206 250838 144728 4202 1430 100317 337 15551 1987 21998 138 220 88 168 229 95 122 104 421 251 58 207 70 119 141 57 299 58 0 1693 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8 "BRAªOV" 519388 516019 2747 622 214261 210901 2746 614 569635 355398 206108 6564 1550 115950 13048 39569 5525 19458 171 164 50 83 89 107 102 157 3685 663 91 161 366 84 151 93 304 130 0 4924 0 0 0 0 0 0 983 0 0 0 0 0 0 0 0 0
9 "BRÃILA" 308804 306728 1682 394 131047 128982 1681 384 337545 206504 125684 4051 1296 80758 340 14496 268 23983 144 141 50 133 549 33 88 103 290 353 184 234 272 79 118 27 186 57 0 1811 0 987 0 0 0 0 0 0 0 0 0 0 0 0 0 0
10 "BUZÃU" 405573 400622 2924 2027 174008 169063 2924 2021 444941 270933 166601 5263 2144 113655 319 20665 3489 22242 142 200 139 175 113 115 86 108 253 461 122 174 136 121 203 42 187 145 0 1734 0 1575 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11 "CARAª-SEVERIN" 282178 278499 2207 1472 107859 104186 2206 1467 325641 217788 103800 3311 735 59765 729 16361 1313 19825 120 180 86 172 48 789 394 323 635 269 1090 85 82 52 79 46 106 1251 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
