"JUD" "DEN_JUD" "DEN_CIRC" "NrAlegatoriListe" "NrAlegatoriListePermanent" "NrAlegatoriListeSuplimentare" "NrAlegatoriUrnaSpeciala" "NrAlegatoriPrezentatiLaUrne" "NrAlegatoriPrezentiLaUrneListaPermanenta" "NrAlegatoriPrezentiLaUrneListaSuplimentara" "NrAlegatoriPrezentiLaUrneListaSpeciala" "NrBuletineVotPrimite" "NrBuletineVotAnulate" "TotalVoturiValabilExprimateLaNivelSectie" "NrVoturiNule" "NrVoturiAlbe" "UNIUNEA SOCIAL LIBERALÃ" "UNIUNEA DEMOCRATÃ MAGHIARÃ DIN ROMÂNIA" "ALIANÞA ROMÂNIA DREAPTÃ" "PARTIDUL ROMÂNIA MARE" "PARTIDUL POPORULUI - DAN DIACONESCU" "ERDÉLYI MAGYAR NÉPPÁRT - PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA" "PARTIDUL ECOLOGIST ROMÂN" "PARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR" "PARTIDUL NAÞIONAL DEMOCRAT CREªTIN" "PARTIDUL POPULAR" "PARTIDUL POPULAR ªI AL PROTECÞIEI SOCIALE" "PARTIDUL ALIANÞA SOCIALISTÃ" "BOTOªANI_3_CONÞAC CONSTANTIN"
1 "ALBA" "ALBAC" 1756 1721 33 2 774 739 33 2 1960 1186 722 20 32 314 1 293 26 88 0 0 0 0 0 0 0 0
1 "ALBA" "ALMAªU MARE" 1170 1133 35 2 574 537 35 2 1280 706 551 18 5 157 5 251 17 116 5 0 0 0 0 0 0 0
1 "ALBA" "ARIEªENI" 1514 1449 17 48 781 733 17 31 1610 829 737 21 23 484 5 170 18 58 2 0 0 0 0 0 0 0
1 "ALBA" "AVRAM IANCU" 1392 1350 19 23 859 818 19 22 1510 651 841 11 7 495 2 125 47 172 0 0 0 0 0 0 0 0
1 "ALBA" "BERGHIN" 1760 1733 25 2 575 548 25 2 1940 1365 541 11 23 219 6 192 19 103 2 0 0 0 0 0 0 0
1 "ALBA" "BISTRA" 4067 4003 47 17 1597 1536 47 14 4440 2843 1557 24 16 977 10 208 64 292 6 0 0 0 0 0 0 0
1 "ALBA" "BLANDIANA" 865 831 16 18 405 371 16 18 950 545 391 7 7 213 4 100 11 59 4 0 0 0 0 0 0 0
1 "ALBA" "BUCERDEA GRÂNOASÃ" 1893 1865 11 17 890 862 11 17 2075 1185 833 16 41 442 157 174 0 59 1 0 0 0 0 0 0 0
1 "ALBA" "BUCIUM" 1429 1334 35 60 839 755 35 49 1550 711 817 10 12 495 9 130 64 115 4 0 0 0 0 0 0 0
1 "ALBA" "CENADE" 768 753 6 9 377 362 6 9 840 463 339 13 25 98 1 204 0 36 0 0 0 0 0 0 0 0
1 "ALBA" "CERGÃU" 1320 1249 16 55 784 715 16 53 1450 666 746 13 25 229 2 434 0 81 0 0 0 0 0 0 0 0
1 "ALBA" "CERU BÃCAINÞI" 249 245 2 2 130 126 2 2 270 140 125 4 1 42 0 69 1 13 0 0 0 0 0 0 0 0
1 "ALBA" "CETATEA  DE BALTÃ" 258 251 7 0 102 95 7 0 280 178 97 2 3 30 34 14 0 17 2 0 0 0 0 0 0 0
1 "ALBA" "CETATEA DE  BALTÃ" 128 119 9 0 63 54 9 0 140 77 52 2 9 13 1 25 0 12 1 0 0 0 0 0 0 0
1 "ALBA" "CETATEA DE BALTÃ" 2090 2057 22 11 823 790 22 11 2280 1455 738 29 56 264 61 267 0 134 12 0 0 0 0 0 0 0
1 "ALBA" "CIUGUD" 2541 2379 62 100 1394 1253 41 100 2690 1296 1317 47 30 831 6 257 30 184 9 0 0 0 0 0 0 0
1 "ALBA" "CIURULEASA" 1063 1025 15 23 587 549 15 23 1140 553 559 14 14 375 7 80 24 73 0 0 0 0 0 0 0 0
1 "ALBA" "CÎLNIC" 1366 1357 6 3 764 755 6 3 1501 737 719 25 20 220 3 338 0 155 3 0 0 0 0 0 0 0
1 "ALBA" "CRÃCIUNELU DE JOS" 1745 1707 22 16 964 926 22 16 1900 936 909 22 33 350 16 440 0 101 2 0 0 0 0 0 0 0
1 "ALBA" "CRICÃU" 1581 1512 22 47 888 823 22 43 1910 1022 860 14 14 469 4 260 15 111 1 0 0 0 0 0 0 0
1 "ALBA" "CUT" 1105 1087 3 15 527 509 3 15 1200 673 504 14 9 282 2 135 0 83 2 0 0 0 0 0 0 0
1 "ALBA" "DAIA ROMÂNÃ" 2530 2527 3 0 892 889 3 0 2790 1898 857 13 22 568 4 142 5 136 2 0 0 0 0 0 0 0
1 "ALBA" "DOªTAT" 771 753 11 7 376 359 11 6 840 464 350 5 21 88 0 201 0 61 0 0 0 0 0 0 0 0
1 "ALBA" "FÃRÃU" 1422 1366 36 20 674 618 36 20 1537 863 622 19 33 113 55 363 0 80 11 0 0 0 0 0 0 0
1 "ALBA" "GALDA DE JOS" 3766 3704 61 1 1643 1581 61 1 4200 2557 1585 32 26 851 66 326 34 276 32 0 0 0 0 0 0 0
1 "ALBA" "GÎRBOVA" 1634 1612 13 9 747 725 13 9 1841 1094 714 16 17 254 2 355 0 102 1 0 0 0 0 0 0 0
1 "ALBA" "GÎRDA DE SUS" 1491 1471 18 2 673 653 18 2 1640 967 637 21 15 367 2 179 14 75 0 0 0 0 0 0 0 0
1 "ALBA" "HOPÎRTA" 976 937 38 1 421 382 38 1 1060 639 396 8 17 106 8 195 0 84 3 0 0 0 0 0 0 0
1 "ALBA" "HOREA" 1748 1715 33 0 1130 1097 33 0 1929 799 1094 17 19 305 1 669 29 90 0 0 0 0 0 0 0 0
1 "ALBA" "IGHIU" 5522 5490 32 0 2532 2500 32 0 6080 3548 2417 70 45 973 17 948 48 428 3 0 0 0 0 0 0 0
1 "ALBA" "ÎNTREGALDE" 617 603 11 3 213 199 11 3 669 456 203 3 7 145 0 23 8 27 0 0 0 0 0 0 0 0
1 "ALBA" "JIDVEI" 4161 4117 41 3 2026 1982 41 3 4559 2533 1931 40 55 423 24 1246 0 234 4 0 0 0 0 0 0 0
1 "ALBA" "LIVEZILE" 1252 1180 26 46 675 605 26 44 1329 654 637 15 23 406 7 75 35 110 4 0 0 0 0 0 0 0
1 "ALBA" "LOPADEA NOUÃ" 2410 2350 50 10 922 862 50 10 2639 1717 885 7 30 171 308 295 0 92 19 0 0 0 0 0 0 0
1 "ALBA" "LUNCA MUREªULUI" 2064 2046 10 8 716 698 10 8 2270 1554 686 12 18 189 134 102 0 255 6 0 0 0 0 0 0 0
1 "ALBA" "LUPªA" 2705 2678 27 0 1340 1313 27 0 3050 1710 1290 16 34 793 4 145 58 287 3 0 0 0 0 0 0 0
1 "ALBA" "METEª" 2552 2507 34 11 1011 966 34 11 2799 1788 958 26 27 614 12 159 21 149 3 0 0 0 0 0 0 0
1 "ALBA" "MIHALÞ" 2869 2848 18 3 1366 1345 18 3 3150 1784 1305 26 24 618 8 585 0 94 0 0 0 0 0 0 0 0
1 "ALBA" "MIRÃSLÃU" 1900 1866 28 6 738 704 28 6 2080 1342 703 24 11 190 108 259 0 138 8 0 0 0 0 0 0 0
1 "ALBA" "MOGOª" 799 763 15 21 272 237 15 20 840 568 266 4 2 139 3 78 14 30 2 0 0 0 0 0 0 0
1 "ALBA" "MUNICIPIUL AIUD" 22936 22731 192 13 8222 8017 192 13 25226 17004 7982 145 95 4355 814 1348 0 1367 98 0 0 0 0 0 0 0
1 "ALBA" "MUNICIPIUL ALBA IULIA" 61741 61152 563 26 24070 23481 563 26 67678 43608 23284 636 150 11919 311 7439 586 2937 92 0 0 0 0 0 0 0
1 "ALBA" "MUNICIPIUL BLAJ" 17256 17100 150 6 6822 6666 150 6 19760 12938 6604 142 76 3016 252 2467 0 844 25 0 0 0 0 0 0 0
1 "ALBA" "MUNICIPIUL SEBEª" 26134 25971 153 10 9679 9517 153 9 29509 19830 9286 273 120 4624 52 3008 0 1572 30 0 0 0 0 0 0 0
1 "ALBA" "NOªLAC" 1528 1510 17 1 451 433 17 1 1680 1229 432 5 14 114 63 159 0 96 0 0 0 0 0 0 0 0
1 "ALBA" "OCOLIª" 627 580 22 25 357 310 22 25 610 253 330 15 12 166 4 62 18 77 3 0 0 0 0 0 0 0
1 "ALBA" "OHABA" 676 632 17 27 337 295 17 25 750 413 315 9 13 114 1 131 3 60 6 0 0 0 0 0 0 0
1 "ALBA" "ORAª ABRUD" 4824 4784 36 4 2455 2415 36 4 5290 2835 2389 42 24 1550 72 354 145 265 3 0 0 0 0 0 0 0
1 "ALBA" "ORAª BAIA DE ARIEª" 3713 3612 59 42 1767 1666 59 42 4010 2243 1709 33 25 988 28 307 57 320 9 0 0 0 0 0 0 0
1 "ALBA" "ORAª CÎMPENI" 6734 6647 83 4 3131 3044 83 4 7351 4220 3006 83 42 1974 25 497 110 389 11 0 0 0 0 0 0 0
