"JUD" "DEN_JUD" "numarColegiu" "numeTipColegiu" "NrAlegatoriListe" "NrAlegatoriListePermanent" "NrAlegatoriListeSuplimentare" "NrAlegatoriUrnaSpeciala" "NrAlegatoriPrezentatiLaUrne" "NrAlegatoriPrezentiLaUrneListaPermanenta" "NrAlegatoriPrezentiLaUrneListaSuplimentara" "NrAlegatoriPrezentiLaUrneListaSpeciala" "NrBuletineVotPrimite" "NrBuletineVotAnulate" "TotalVoturiValabilExprimateLaNivelSectie" "NrVoturiNule" "NrVoturiAlbe" "UNIUNEA SOCIAL LIBERALÃ" "UNIUNEA DEMOCRATÃ MAGHIARÃ DIN ROMÂNIA" "ALIANÞA ROMÂNIA DREAPTÃ" "PARTIDUL ROMÂNIA MARE" "PARTIDUL POPORULUI - DAN DIACONESCU" "ERDÉLYI MAGYAR NÉPPÁRT - PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA" "PARTIDUL ECOLOGIST ROMÂN" "PARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR" "PARTIDUL NAÞIONAL DEMOCRAT CREªTIN" "PARTIDUL POPULAR" "PARTIDUL POPULAR ªI AL PROTECÞIEI SOCIALE" "PARTIDUL ALIANÞA SOCIALISTÃ" "BOTOªANI_3_CONÞAC CONSTANTIN"
1 "ALBA" 1 "SENAT" 194424 191518 2088 818 84065 81229 2067 769 214007 129942 80870 2002 1193 44376 1103 20818 2390 11839 344 0 0 0 0 0 0 0
1 "ALBA" 2 "SENAT" 126350 124885 1164 301 49291 47830 1164 297 140405 91112 47209 1080 991 20829 2705 15832 0 7561 282 0 0 0 0 0 0 0
2 "ARAD" 1 "SENAT" 153684 152920 714 50 57519 56756 714 49 168897 111375 56085 1181 248 26304 3772 18964 0 5595 394 1056 0 0 0 0 0 0
2 "ARAD" 2 "SENAT" 116036 114291 1026 719 44686 42961 1025 700 126734 82048 43531 778 377 22706 2030 12532 0 5738 262 263 0 0 0 0 0 0
2 "ARAD" 3 "SENAT" 125270 124117 790 363 39747 38600 790 357 137290 97544 38785 683 278 17204 2576 10864 0 7582 201 358 0 0 0 0 0 0
3 "ARGEª" 1 "SENAT" 119925 118676 1053 196 50297 49050 1053 194 131897 81602 48520 1155 620 33322 320 5148 977 8621 0 0 0 132 0 0 0 0
3 "ARGEª" 2 "SENAT" 137929 136409 1232 288 59907 58397 1232 278 151589 91682 57928 1155 822 41911 291 4364 0 11362 0 0 0 0 0 0 0 0
3 "ARGEª" 3 "SENAT" 110810 109323 1146 341 49761 48279 1145 337 121616 71856 47826 1116 818 32733 312 5233 0 9232 0 316 0 0 0 0 0 0
3 "ARGEª" 4 "SENAT" 176239 175120 1053 66 84416 83297 1053 66 195005 110598 82152 1806 449 55183 350 15112 0 8690 0 2207 610 0 0 0 0 0
4 "BACÃU" 1 "SENAT" 192149 191215 858 76 69417 68488 857 72 211711 142294 66947 1930 524 40174 155 10225 1833 11394 0 3166 0 0 0 0 0 0
4 "BACÃU" 2 "SENAT" 127392 126229 1014 149 51549 50387 1014 148 139606 88057 49503 1307 739 32322 140 6352 0 9166 0 1523 0 0 0 0 0 0
4 "BACÃU" 3 "SENAT" 118456 117028 1220 208 46007 44583 1220 204 129513 83506 43870 1187 948 28636 210 4097 0 10295 0 632 0 0 0 0 0 0
4 "BACÃU" 4 "SENAT" 166409 164520 1358 531 63339 61498 1358 483 182018 118679 60112 1615 1609 37246 466 6292 1291 13507 209 1101 0 0 0 0 0 0
5 "BIHOR" 1 "SENAT" 112227 110950 793 484 44748 43474 793 481 123978 79231 43055 962 730 11221 21554 2765 0 4058 3457 0 0 0 0 0 0 0
5 "BIHOR" 2 "SENAT" 109882 108244 1054 584 54312 52705 1046 561 122004 67692 52666 950 696 33219 2309 9414 1127 6312 285 0 0 0 0 0 0 0
5 "BIHOR" 3 "SENAT" 151498 149769 1005 724 61088 59373 1005 710 166475 105378 59261 1068 752 34129 7410 9541 0 6820 1361 0 0 0 0 0 0 0
5 "BIHOR" 4 "SENAT" 133037 132511 489 37 52768 52242 489 37 147288 94530 51770 779 199 29353 8739 6884 1235 3142 2417 0 0 0 0 0 0 0
6 "BISTRIÞA-NÃSÃUD" 1 "SENAT" 135706 134534 1017 155 50167 48997 1017 153 146965 96798 48587 904 676 28119 1826 10761 0 6095 0 1786 0 0 0 0 0 0
6 "BISTRIÞA-NÃSÃUD" 2 "SENAT" 127225 125610 997 618 50971 49371 992 608 140777 89806 49106 912 953 27071 2563 13834 0 4815 256 567 0 0 0 0 0 0
7 "BOTOªANI" 1 "SENAT" 131074 129867 902 305 51260 50054 902 304 142908 91648 49199 1256 805 35533 130 4317 749 7350 0 425 0 0 695 0 0 0
7 "BOTOªANI" 2 "SENAT" 115809 114243 1001 565 51125 49598 1001 526 126040 74920 48927 1277 916 34909 127 4203 686 8750 0 0 0 0 252 0 0 0
7 "BOTOªANI" 3 "SENAT" 120553 119902 570 81 47985 47335 570 80 132316 84331 46422 1292 266 31046 165 6216 833 6076 0 1112 0 0 246 0 0 728
8 "BRAªOV" 1 "SENAT" 134437 133102 1066 269 51312 49977 1066 269 147091 95778 49027 1553 732 28200 3029 8205 1655 6651 202 1085 0 0 0 0 0 0
8 "BRAªOV" 2 "SENAT" 131867 130683 966 218 55281 54103 965 213 144145 88863 52875 1789 617 29685 4195 9683 1347 6635 0 1330 0 0 0 0 0 0
8 "BRAªOV" 3 "SENAT" 123011 122625 308 78 53816 53432 308 76 135387 81591 52081 1436 275 28492 3335 11855 1717 4229 402 2051 0 0 0 0 0 0
8 "BRAªOV" 4 "SENAT" 130073 129609 407 57 53852 53389 407 56 143047 89205 52183 1381 275 31015 2529 11421 1726 3740 301 1451 0 0 0 0 0 0
9 "BRÃILA" 1 "SENAT" 164086 162881 868 337 71621 70427 867 327 179346 107730 68771 2069 774 44716 532 8707 0 12291 0 1615 0 0 910 0 0 0
9 "BRÃILA" 2 "SENAT" 144718 143847 814 57 59426 58555 814 57 158197 98776 56961 1696 763 38145 248 4795 0 12604 0 0 0 0 1169 0 0 0
10 "BUZÃU" 1 "SENAT" 144303 143521 726 56 60349 59567 726 56 159489 99140 58265 1645 439 39008 224 8229 1839 8965 0 0 0 0 0 0 0 0
10 "BUZÃU" 2 "SENAT" 105624 103651 971 1002 50562 48594 971 997 115172 64610 48417 1195 950 35140 111 4359 806 8001 0 0 0 0 0 0 0 0
10 "BUZÃU" 3 "SENAT" 155646 153450 1227 969 63097 60902 1227 968 170414 107317 59771 1760 1566 40568 188 8185 1483 9347 0 0 0 0 0 0 0 0
11 "CARAª-SEVERIN" 1 "SENAT" 127392 126155 938 299 42347 41110 938 299 146742 104397 40647 1312 382 23799 562 6319 1205 8688 74 0 0 0 0 0 0 0
11 "CARAª-SEVERIN" 2 "SENAT" 154786 152344 1269 1173 65512 63076 1268 1168 178875 113366 63357 1488 660 41677 346 8195 1152 11987 0 0 0 0 0 0 0 0
12 "CÃLÃRAªI" 1 "SENAT" 166156 163039 2258 859 75393 72331 2213 849 181506 106112 72185 1922 1286 45313 272 12841 1577 12182 0 0 0 0 0 0 0 0
