"JUD" "DEN_JUD" "NrAlegatoriListe" "NrAlegatoriListePermanent" "NrAlegatoriListeSuplimentare" "NrAlegatoriUrnaSpeciala" "NrAlegatoriPrezentatiLaUrne" "NrAlegatoriPrezentiLaUrneListaPermanenta" "NrAlegatoriPrezentiLaUrneListaSuplimentara" "NrAlegatoriPrezentiLaUrneListaSpeciala" "NrBuletineVotPrimite" "NrBuletineVotAnulate" "TotalVoturiValabilExprimateLaNivelSectie" "NrVoturiNule" "NrVoturiAlbe" "UNIUNEA SOCIAL LIBERALÃ" "UNIUNEA DEMOCRATÃ MAGHIARÃ DIN ROMÂNIA" "ALIANÞA ROMÂNIA DREAPTÃ" "PARTIDUL ROMÂNIA MARE" "PARTIDUL POPORULUI - DAN DIACONESCU" "ERDÉLYI MAGYAR NÉPPÁRT - PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA" "PARTIDUL ECOLOGIST ROMÂN" "PARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR" "PARTIDUL NAÞIONAL DEMOCRAT CREªTIN" "PARTIDUL POPULAR" "PARTIDUL POPULAR ªI AL PROTECÞIEI SOCIALE" "PARTIDUL ALIANÞA SOCIALISTÃ" "BOTOªANI_3_CONÞAC CONSTANTIN"
1 "ALBA" 320774 316403 3252 1119 133356 129059 3231 1066 354412 221054 128079 3082 2184 65205 3808 36650 2390 19400 626 0 0 0 0 0 0 0
2 "ARAD" 394990 391328 2530 1132 141952 138317 2529 1106 432921 290967 138401 2642 903 66214 8378 42360 0 18915 857 1677 0 0 0 0 0 0
3 "ARGEª" 544903 539528 4484 891 244381 239023 4483 875 600107 355738 236426 5232 2709 163149 1273 29857 977 37905 0 2523 610 132 0 0 0 0
4 "BACÃU" 604406 598992 4450 964 230312 224956 4449 907 662848 432536 220432 6039 3820 138378 971 26966 3124 44362 209 6422 0 0 0 0 0 0
5 "BIHOR" 506644 501474 3341 1829 212916 207794 3333 1789 559745 346831 206752 3759 2377 107922 40012 28604 2362 20332 7520 0 0 0 0 0 0 0
6 "BISTRIÞA-NÃSÃUD" 262931 260144 2014 773 101138 98368 2009 761 287742 186604 97693 1816 1629 55190 4389 24595 0 10910 256 2353 0 0 0 0 0 0
7 "BOTOªANI" 367436 364012 2473 951 150370 146987 2473 910 401264 250899 144548 3825 1987 101488 422 14736 2268 22176 0 1537 0 0 1193 0 0 728
8 "BRAªOV" 519388 516019 2747 622 214261 210901 2746 614 569670 355437 206166 6159 1899 117392 13088 41164 6445 21255 905 5917 0 0 0 0 0 0
9 "BRÃILA" 308804 306728 1682 394 131047 128982 1681 384 337543 206506 125732 3765 1537 82861 780 13502 0 24895 0 1615 0 0 2079 0 0 0
10 "BUZÃU" 405573 400622 2924 2027 174008 169063 2924 2021 445075 271067 166453 4600 2955 114716 523 20773 4128 26313 0 0 0 0 0 0 0 0
11 "CARAª-SEVERIN" 282178 278499 2207 1472 107859 104186 2206 1467 325617 217763 104004 2800 1042 65476 908 14514 2357 20675 74 0 0 0 0 0 0 0
12 "CÃLÃRAªI" 263472 258974 3276 1222 121677 117235 3231 1211 288010 166332 116560 3160 1957 77963 413 16986 2304 18894 0 0 0 0 0 0 0 0
13 "CLUJ" 600947 596271 3570 1106 219435 214797 3570 1068 656651 437225 212960 4554 1910 101200 28126 51685 5899 21954 4096 0 0 0 0 0 0 0
14 "CONSTANÞA" 634512 629530 4351 631 277458 272479 4350 629 693688 416229 265909 8206 3339 169761 1142 42480 4381 46731 0 0 0 0 0 1414 0 0
15 "COVASNA" 185680 183321 1374 985 73126 70783 1374 969 202966 129840 69537 1535 2054 10961 41025 2783 1184 1791 10907 886 0 0 0 0 0 0
16 "DÂMBOVIÞA" 437614 433728 3000 886 202629 198755 2999 875 478989 276371 193658 5604 3351 122142 456 36395 0 33402 0 624 0 0 639 0 0 0
17 "DOLJ" 590825 584355 3183 3287 278915 272584 3183 3148 655819 376904 268986 5872 4057 177098 748 41758 603 46527 0 2252 0 0 0 0 0 0
18 "GALAÞI" 526661 520343 4047 2271 221204 214917 4046 2241 575808 354603 212480 6004 2710 141869 788 26416 3238 35405 0 4764 0 0 0 0 0 0
19 "GIURGIU" 231492 228384 2005 1103 115116 112009 2005 1102 251994 136878 110402 3115 1599 77428 314 10293 1848 20519 0 0 0 0 0 0 0 0
20 "GORJ" 307334 304674 2174 486 162751 160094 2174 483 337030 174279 158099 3026 1626 88088 791 14541 2609 52070 0 0 0 0 0 0 0 0
21 "HARGHITA" 270744 267755 1767 1222 120057 117080 1767 1210 311689 191631 116410 2168 1477 10219 83097 2633 0 2712 17749 0 0 0 0 0 0 0
22 "HUNEDOARA" 406821 402340 3802 679 175701 171221 3802 678 443696 267983 169803 4308 1549 109301 5140 21165 6107 26466 500 0 0 0 0 0 1124 0
23 "IALOMIÞA" 241080 238409 1663 1008 99779 97137 1662 980 263518 163737 95608 2308 1862 58290 352 15056 0 19991 0 1919 0 0 0 0 0 0
24 "IAªI" 690193 684182 4332 1679 263625 257726 4328 1571 762597 498911 250326 7816 5433 166449 772 39642 3773 39184 0 0 506 0 0 0 0 0
25 "ILFOV" 287790 284506 2975 309 122088 118805 2975 308 313172 191085 117897 3277 899 85325 258 13928 1064 16604 0 0 0 0 718 0 0 0
26 "MARAMUREª" 429751 426653 2524 574 142674 139600 2512 562 471485 328813 138099 3097 1454 81354 6901 23889 0 18652 2440 4863 0 0 0 0 0 0
27 "MEHEDINÞI" 244174 239979 1918 2277 119789 115703 1917 2169 268669 148880 116467 2376 946 75196 372 22528 2066 15296 0 1009 0 0 0 0 0 0
42 "Mun. BUCUREªTI" 1794470 1787918 5495 1057 719971 713445 5487 1039 1943935 1223992 700141 17577 2147 465518 2700 141283 17791 66560 28 6193 0 0 0 0 68 0
28 "MUREª" 484889 479309 3496 2084 201836 196307 3496 2033 534307 332473 194714 4462 2657 75263 67519 23358 3121 18300 7153 0 0 0 0 0 0 0
29 "NEAMÞ" 475051 470157 3991 903 193830 188962 3984 884 522237 328415 185509 5809 2494 116663 435 29459 4588 27300 0 5056 0 0 2008 0 0 0
30 "OLT" 389866 382991 3992 2883 188284 181526 3987 2771 424526 236242 181149 4308 2824 122430 398 14193 4297 39831 0 0 0 0 0 0 0 0
31 "PRAHOVA" 684390 678747 4261 1382 321985 316368 4261 1356 750449 428483 311327 8001 2635 183720 672 80012 2920 41840 0 1305 264 0 141 453 0 0
32 "SATU MARE" 318042 314552 2312 1178 118707 115249 2312 1146 349989 231282 115027 2290 1389 45250 38980 18144 693 9267 2693 0 0 0 0 0 0 0
33 "SÃLAJ" 202402 199863 1445 1094 85732 83211 1445 1076 221112 135380 83183 1555 994 34887 18646 14785 0 13146 1719 0 0 0 0 0 0 0
34 "SIBIU" 372113 369605 1818 690 138233 135756 1818 659 414198 275964 132640 3961 1632 73171 3306 30141 2291 19964 224 2401 0 0 1142 0 0 0
43 "Strainatate (CE. 43)" 61014 0 61014 0 60878 0 60878 0 446947 386069 59989 584 305 17309 944 24088 1321 13707 371 2249 0 0 0 0 0 0
35 "SUCEAVA" 580014 574789 4262 963 226060 220873 4258 929 634072 408020 217930 5296 2819 128125 538 57814 4105 25053 0 874 0 0 1229 0 192 0
36 "TELEORMAN" 342629 334028 3971 4630 186295 177764 3969 4562 374733 188438 180027 4240 2028 135867 345 19717 714 22862 0 0 0 0 0 233 289 0
37 "TIMIª" 611044 605900 3519 1625 196079 191016 3508 1555 672124 476065 190834 3966 1209 113164 6728 40974 3673 25857 438 0 0 0 0 0 0 0
38 "TULCEA" 205855 204256 901 698 77032 75497 901 634 226173 149142 73745 2048 1238 44978 294 11780 1035 15658 0 0 0 0 0 0 0 0
39 "VASLUI" 369568 365024 3661 883 142933 138440 3649 844 402831 259906 135930 4231 2753 89969 1016 22819 0 19594 0 0 0 0 2532 0 0 0
40 "VÂLCEA" 343407 339655 2895 857 154043 150320 2894 829 375608 221568 147413 4243 2380 100825 537 18290 3466 23797 0 0 0 0 0 0 498 0
41 "VRANCEA" 321195 316228 2584 2383 124658 119795 2577 2286 350371 225720 119183 3264 2199 79752 223 16562 0 20750 0 1896 0 0 0 0 0 0
